ID,OrderQty,UnitPrice,LineTotal,ProductID,SalesOrderID
0,1,2024.994,2024.994,776,43659
1,3,2024.994,6074.982,777,43659
2,1,2024.994,2024.994,778,43659
3,1,2039.994,2039.994,771,43659
4,1,2039.994,2039.994,772,43659
5,2,2039.994,4079.988,773,43659
6,1,2039.994,2039.994,774,43659
7,3,28.8404,86.5212,714,43659
8,1,28.8404,28.8404,716,43659
9,6,5.7,34.2,709,43659
10,2,5.1865,10.373,712,43659
11,4,20.1865,80.746,711,43659
12,1,419.4589,419.4589,762,43660
13,1,874.794,874.794,758,43660
14,1,809.76,809.76,745,43661
15,1,714.7043,714.7043,743,43661
16,2,714.7043,1429.4086,747,43661
17,4,5.1865,20.746,712,43661
18,4,28.8404,115.3616,715,43661
19,2,722.5949,1445.1898,742,43661
20,3,2024.994,6074.982,775,43661
21,2,2024.994,4049.988,778,43661
22,2,20.1865,40.373,711,43661
23,2,818.7,1637.4,741,43661
24,4,2024.994,8099.976,776,43661
25,2,2039.994,4079.988,773,43661
26,2,28.8404,57.6808,716,43661
27,2,2024.994,4049.988,777,43661
28,5,20.1865,100.9325,708,43661
29,3,419.4589,1258.3767,764,43662
30,5,419.4589,2097.2945,770,43662
31,2,183.9382,367.8764,730,43662
32,4,874.794,3499.176,754,43662
33,3,183.9382,551.8146,725,43662
34,5,419.4589,2097.2945,762,43662
35,3,419.4589,1258.3767,765,43662
36,2,419.4589,838.9178,768,43662
37,1,2146.962,2146.962,753,43662
38,1,874.794,874.794,756,43662
39,3,419.4589,1258.3767,763,43662
40,1,356.898,356.898,732,43662
41,6,874.794,5248.764,758,43662
42,1,183.9382,183.9382,729,43662
43,3,178.5808,535.7424,722,43662
44,1,2146.962,2146.962,749,43662
45,3,419.4589,1258.3767,760,43662
46,1,183.9382,183.9382,726,43662
47,1,356.898,356.898,733,43662
48,1,178.5808,178.5808,738,43662
49,3,419.4589,1258.3767,766,43662
50,1,874.794,874.794,755,43662
51,1,419.4589,419.4589,760,43663
52,1,2039.994,2039.994,772,43664
53,4,2024.994,8099.976,775,43664
54,1,28.8404,28.8404,714,43664
55,1,28.8404,28.8404,716,43664
56,2,2024.994,4049.988,777,43664
57,3,2039.994,6119.982,771,43664
58,1,2039.994,2039.994,773,43664
59,1,2024.994,2024.994,778,43664
60,2,20.1865,40.373,711,43665
61,1,2039.994,2039.994,773,43665
62,1,20.1865,20.1865,707,43665
63,2,28.8404,57.6808,715,43665
64,2,2024.994,4049.988,777,43665
65,2,5.1865,10.373,712,43665
66,2,2024.994,4049.988,775,43665
67,1,2024.994,2024.994,778,43665
68,6,5.7,34.2,709,43665
69,1,2024.994,2024.994,776,43665
70,1,419.4589,419.4589,764,43666
71,1,2146.962,2146.962,753,43666
72,1,356.898,356.898,732,43666
73,1,874.794,874.794,756,43666
74,2,419.4589,838.9178,768,43666
75,1,419.4589,419.4589,766,43666
76,3,5.7,17.1,710,43667
77,1,2039.994,2039.994,773,43667
78,1,2024.994,2024.994,778,43667
79,1,2024.994,2024.994,775,43667
80,3,874.794,2624.382,756,43668
81,2,2146.962,4293.924,753,43668
82,7,419.4589,2936.2123,760,43668
83,6,419.4589,2516.7534,765,43668
84,6,28.8404,173.0424,715,43668
85,6,183.9382,1103.6292,730,43668
86,2,20.1865,40.373,707,43668
87,2,20.1865,40.373,711,43668
88,2,874.794,1749.588,754,43668
89,4,5.1865,20.746,712,43668
90,2,183.9382,367.8764,729,43668
91,3,874.794,2624.382,755,43668
92,3,419.4589,1258.3767,761,43668
93,2,419.4589,838.9178,770,43668
94,3,183.9382,551.8146,726,43668
95,2,419.4589,838.9178,764,43668
96,2,419.4589,838.9178,766,43668
97,2,183.9382,367.8764,725,43668
98,1,28.8404,28.8404,716,43668
99,2,419.4589,838.9178,768,43668
100,4,356.898,1427.592,732,43668
101,6,874.794,5248.764,758,43668
102,4,419.4589,1677.8356,762,43668
103,3,178.5808,535.7424,738,43668
104,4,28.8404,115.3616,714,43668
105,3,178.5808,535.7424,722,43668
106,1,20.1865,20.1865,708,43668
107,3,356.898,1070.694,733,43668
108,3,419.4589,1258.3767,763,43668
109,1,714.7043,714.7043,747,43669
110,1,5.7,5.7,710,43670
111,2,5.7,11.4,709,43670
112,2,2039.994,4079.988,773,43670
113,1,2024.994,2024.994,776,43670
114,1,2146.962,2146.962,753,43671
115,2,28.8404,57.6808,714,43671
116,1,874.794,874.794,756,43671
117,2,419.4589,838.9178,768,43671
118,2,356.898,713.796,732,43671
119,2,419.4589,838.9178,763,43671
120,2,874.794,1749.588,755,43671
121,2,419.4589,838.9178,764,43671
122,1,28.8404,28.8404,716,43671
123,1,20.1865,20.1865,711,43671
124,1,20.1865,20.1865,708,43671
125,6,5.7,34.2,709,43672
126,2,2024.994,4049.988,776,43672
127,1,2039.994,2039.994,774,43672
128,1,874.794,874.794,754,43673
129,3,28.8404,86.5212,715,43673
130,1,183.9382,183.9382,729,43673
131,2,419.4589,838.9178,761,43673
132,1,419.4589,419.4589,762,43673
133,2,178.5808,357.1616,738,43673
134,2,419.4589,838.9178,770,43673
135,1,5.1865,5.1865,712,43673
136,2,20.1865,40.373,708,43673
137,1,20.1865,20.1865,711,43673
138,4,20.1865,80.746,707,43673
139,3,874.794,2624.382,758,43674
140,4,419.4589,1677.8356,761,43675
141,5,20.1865,100.9325,711,43675
142,2,178.5808,357.1616,738,43675
143,1,20.1865,20.1865,708,43675
144,2,419.4589,838.9178,762,43675
145,2,874.794,1749.588,758,43675
146,2,5.1865,10.373,712,43675
147,1,874.794,874.794,754,43675
148,3,28.8404,86.5212,715,43675
149,2,2024.994,4049.988,776,43676
150,2,2024.994,4049.988,778,43676
151,1,5.7,5.7,710,43676
152,3,2024.994,6074.982,775,43676
153,4,5.7,22.8,709,43676
154,3,28.8404,86.5212,715,43677
155,1,2146.962,2146.962,753,43677
156,1,874.794,874.794,758,43677
157,1,419.4589,419.4589,770,43677
158,2,20.1865,40.373,708,43677
159,4,419.4589,1677.8356,760,43677
160,2,419.4589,838.9178,765,43677
161,1,419.4589,419.4589,763,43677
162,5,5.1865,25.9325,712,43677
163,1,20.1865,20.1865,707,43677
164,1,874.794,874.794,754,43677
165,2,183.9382,367.8764,729,43677
166,1,419.4589,419.4589,760,43678
167,2,178.5808,357.1616,738,43678
168,1,419.4589,419.4589,765,43678
169,2,356.898,713.796,732,43678
170,3,419.4589,1258.3767,762,43678
171,2,419.4589,838.9178,761,43678
172,3,5.1865,15.5595,712,43678
173,4,20.1865,80.746,708,43678
174,2,183.9382,367.8764,729,43678
175,1,874.794,874.794,756,43678
176,2,183.9382,367.8764,725,43678
177,1,28.8404,28.8404,716,43678
178,1,419.4589,419.4589,770,43678
179,2,874.794,1749.588,758,43678
180,2,28.8404,57.6808,715,43678
181,1,874.794,874.794,754,43678
182,1,874.794,874.794,755,43678
183,3,20.1865,60.5595,711,43678
184,1,20.1865,20.1865,707,43678
185,1,419.4589,419.4589,760,43679
186,2,419.4589,838.9178,770,43679
187,2,28.8404,57.6808,715,43679
188,3,419.4589,1258.3767,760,43680
189,2,874.794,1749.588,756,43680
190,2,178.5808,357.1616,738,43680
191,4,20.1865,80.746,707,43680
192,1,183.9382,183.9382,729,43680
193,1,20.1865,20.1865,711,43680
194,2,28.8404,57.6808,715,43680
195,2,183.9382,367.8764,725,43680
196,1,874.794,874.794,758,43680
197,1,419.4589,419.4589,761,43680
198,2,2146.962,4293.924,753,43680
199,2,20.1865,40.373,708,43680
200,3,419.4589,1258.3767,765,43680
201,3,5.1865,15.5595,712,43680
202,1,419.4589,419.4589,763,43680
203,6,28.8404,173.0424,715,43681
204,5,419.4589,2097.2945,762,43681
205,1,356.898,356.898,732,43681
206,1,20.1865,20.1865,707,43681
207,1,183.9382,183.9382,729,43681
208,2,20.1865,40.373,708,43681
209,3,419.4589,1258.3767,770,43681
210,2,183.9382,367.8764,730,43681
211,3,874.794,2624.382,758,43681
212,1,419.4589,419.4589,768,43681
213,2,419.4589,838.9178,761,43681
214,2,178.5808,357.1616,738,43681
215,1,2146.962,2146.962,753,43681
216,2,28.8404,57.6808,714,43681
217,2,419.4589,838.9178,764,43681
218,2,419.4589,838.9178,760,43681
219,1,874.794,874.794,756,43681
220,2,28.8404,57.6808,716,43681
221,2,20.1865,40.373,711,43681
222,1,183.9382,183.9382,725,43681
223,2,5.1865,10.373,712,43681
224,2,874.794,1749.588,758,43682
225,1,419.4589,419.4589,762,43682
226,2,419.4589,838.9178,760,43682
227,2,419.4589,838.9178,770,43682
228,1,28.8404,28.8404,715,43682
229,2,2024.994,4049.988,776,43683
230,2,28.8404,57.6808,715,43683
231,2,2039.994,4079.988,773,43683
232,1,2039.994,2039.994,774,43683
233,1,20.1865,20.1865,708,43683
234,2,20.1865,40.373,711,43683
235,3,5.1865,15.5595,712,43683
236,4,2024.994,8099.976,775,43683
237,6,2024.994,12149.964,777,43683
238,1,2039.994,2039.994,772,43683
239,3,20.1865,60.5595,707,43683
240,5,2024.994,10124.97,778,43683
241,6,5.7,34.2,709,43683
242,2,874.794,1749.588,754,43684
243,2,419.4589,838.9178,762,43684
244,1,419.4589,419.4589,760,43684
245,2,874.794,1749.588,758,43684
246,1,419.4589,419.4589,770,43684
247,1,419.4589,419.4589,763,43684
248,3,419.4589,1258.3767,765,43685
249,1,419.4589,419.4589,763,43685
250,1,874.794,874.794,754,43685
251,1,183.9382,183.9382,725,43685
252,3,874.794,2624.382,758,43686
253,1,419.4589,419.4589,762,43686
